experiment,baseline_type,baseline_value,ctx_z_coef,subject_RE_SD,n_subjects,n_trials
TPB,cutpoints_logit,"[-2.5458685115918045, 1.2058374380734582, -0.2456331268091182, 0.10376234595979851]",-0.8387226247478261,,146,785
FIP,cutpoints_logit,"[-2.015434736465238, 0.2777959692401179, -0.3649422138745837, 0.7538354688401318]",-0.19009373386893288,,146,785
DSB,cutpoints_logit,"[-2.8467274963885085, 0.6214913375580021, 0.8343036330573789, 1.3779396019323866]",0.7644180030426488,,144,766
