Model,DSB,FIP,TPB,Mean_Rank,Std_Rank
DeepSeekV3.2,4,6,6,5.333333333333333,0.9428090415820634
GPT5.2,3,5,2,3.3333333333333335,1.247219128924647
Gemini3Pro,1,2,4,2.3333333333333335,1.247219128924647
Grok4,7,4,1,4.0,2.449489742783178
Human,6,1,3,3.3333333333333335,2.0548046676563256
Qwen3Max,5,7,7,6.333333333333333,0.9428090415820634
Sonnet4.5,2,3,5,3.3333333333333335,1.247219128924647
