Model,DSB,FIP,TPB,Mean_Area
DeepSeekV3.2,0.1089881685034545,-0.09312574395912174,-0.11485638408350693,-0.032997986513058054
GPT5.2,0.11942518970874384,0.15003393063639056,0.15614791106050907,0.14186901046854783
Gemini3Pro,0.801769265685166,0.3744518739244457,-0.08684222791168758,0.36312630389930806
Grok4,-0.20930164664478765,0.24794365239813904,0.7739295089100053,0.27085717155445227
Human,-0.012967896456661866,1.5195266336025908,0.0586920050715312,0.52175024740582
Qwen3Max,0.10825122519934678,-0.22910850191185247,-0.19806025777890787,-0.10630584483047119
Sonnet4.5,0.1500011278361983,0.3465442607388896,-0.11299813225390559,0.1278490854403941
